Idx	Frequency	Coverage (%)	Phrase
1	13521	2.94	рф
2	10420	3.02	москве
3	5735	3.05	г
4	4490	3.06	млн руб
5	4295	3.10	петербурге
6	4187	3.14	россии
7	3644	3.16	в
8	3643	3.18	млрд руб
9	3617	3.20	-
10	3077	3.25	москвы
11	2967	3.27	сша
12	2949	3.27	власти
13	2899	3.29	тыс
14	2847	3.32	подмосковье
15	2845	3.34	человек
16	2480	3.38	области
17	2334	3.39	млн
18	2189	3.41	года
19	2082	3.42	глава
20	2029	3.43	фк
21	1961	3.44	чм
22	1935	3.45	гд
23	1931	3.47	дтп
24	1849	3.48	году
25	1823	3.50	сми:
26	1794	3.51	ес
27	1573	3.53	путин:
28	1527	3.54	украине
29	1517	3.55	на
30	1477	3.56	приморье
31	1443	3.57	суд
32	1361	3.58	футболу
33	1342	3.59	чр
34	1260	3.61	премьер
35	1236	3.62	млрд
36	1232	3.63	нет
37	1231	3.64	будет
38	1225	3.66	пройдет
39	1216	3.68	медведев:
40	1161	3.68	с
41	1160	3.70	ленобласти
42	1159	3.71	дагестане
43	1147	3.72	кхл
44	1132	3.73	о
45	1123	3.74	около
46	1103	3.75	эксперты
47	1086	3.85	биография
48	1085	3.86	россия
49	1083	3.87	из-за
50	1033	3.88	i
51	1029	3.88	тыс руб
52	1027	3.89	число
53	1023	3.89	пожар
54	1015	3.89	события
55	979	3.90	сми
56	975	3.96	справка
57	965	3.96	год
58	965	3.97	км
59	949	3.98	у
60	922	3.98	за
61	920	3.99	хк
62	915	3.99	сочи
63	913	4.00	украины
64	906	4.01	погибли
65	903	4.02	футболист
66	898	4.02	и
67	888	4.03	новосибирске
68	885	4.03	рубль
69	884	4.03	чп
70	884	4.05	считает
71	874	4.06	ск
72	866	4.07	возбуждено
73	864	4.08	сирии
74	862	4.09	ранены
75	858	4.09	пострадали
76	857	4.10	день
77	853	4.11	томске
78	845	4.12	петербурга
79	843	4.12	эксперт
80	833	4.13	вс
81	826	4.15	в москве
82	809	4.15	из
83	809	4.16	более
84	795	4.17	дешевеет
85	791	4.17	делу
86	791	4.18	выборах
87	788	4.19	дорожает
88	782	4.20	главы
89	776	4.20	москву
90	774	4.21	может
91	770	4.22	россиян
92	764	4.23	че
93	762	4.23	кубани
94	761	4.24	для
95	761	4.24	лет
